* Measurement data measured by REW V5.19
* Source: Vector average
* Format: Vector average
* Dated: Feb 2, 2019 7:16:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 65.0 dB
* Note: Vector average of Feb 2 19:08:03, Feb 2 19:10:03, Feb 2 19:11:53, Feb 2 19:13:10, Feb 2 19:14:39, Feb 2 19:16:14
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.888 44.575 -58.045
10.254 43.648 -61.641
10.620 40.523 -63.164
10.986 37.487 -47.993
11.353 40.397 -25.933
11.719 44.706 -14.280
12.085 47.967 -17.068
12.451 50.304 -27.015
12.817 51.931 -37.382
13.184 53.063 -45.655
13.550 53.949 -51.315
13.916 54.850 -54.738
14.282 55.900 -57.245
14.648 57.021 -60.491
15.015 58.013 -65.523
15.381 58.711 -72.301
15.747 59.034 -79.827
16.113 58.989 -86.608
16.479 58.680 -91.297
16.846 58.327 -93.418
17.212 58.201 -93.786
17.578 58.424 -94.132
17.944 58.835 -96.040
18.311 59.164 -99.956
18.677 59.227 -104.899
19.043 58.983 -109.010
19.409 58.553 -110.592
19.775 58.234 -109.147
20.142 58.376 -105.739
20.508 59.052 -102.338
20.874 59.997 -100.601
21.240 60.926 -101.020
21.606 61.722 -103.006
21.973 62.395 -105.601
22.339 63.003 -108.151
22.705 63.592 -110.533
23.071 64.158 -112.956
23.438 64.665 -115.608
23.804 65.077 -118.424
24.170 65.393 -121.094
24.536 65.648 -123.264
24.902 65.909 -124.783
25.269 66.231 -125.813
25.635 66.629 -126.742
26.001 67.066 -127.961
26.367 67.489 -129.656
26.733 67.856 -131.726
27.100 68.159 -133.888
27.466 68.425 -135.847
27.832 68.692 -137.454
28.198 68.997 -138.755
28.564 69.352 -139.930
28.931 69.748 -141.186
29.297 70.158 -142.653
29.663 70.562 -144.352
30.029 70.946 -146.221
30.396 71.307 -148.161
30.762 71.650 -150.085
31.128 71.982 -151.940
31.494 72.312 -153.712
31.860 72.644 -155.424
32.227 72.978 -157.122
32.593 73.309 -158.854
32.959 73.627 -160.646
33.325 73.923 -162.478
33.691 74.197 -164.275
34.058 74.455 -165.937
34.424 74.717 -167.376
34.790 75.007 -168.569
35.156 75.344 -169.579
35.522 75.732 -170.544
35.889 76.161 -171.626
36.255 76.609 -172.953
36.621 77.052 -174.569
36.987 77.477 -176.427
37.354 77.883 -178.407
