* Measurement data measured by REW V5.19
* Source: Vector average
* Format: Vector average
* Dated: Feb 2, 2019 7:27:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 65.0 dB
* Note: Vector average of Feb 2 19:20:37, Feb 2 19:21:44, Feb 2 19:23:07, Feb 2 19:24:30, Feb 2 19:25:49, Feb 2 19:27:21
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 0.36621097 Hz
* Start Frequency: 9.887695 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9.888 42.591 -19.854
10.254 43.799 -18.419
10.620 45.863 -17.861
10.986 47.092 -24.030
11.353 47.515 -33.206
11.719 47.474 -38.908
12.085 47.662 -39.263
12.451 48.748 -37.242
12.817 50.475 -37.190
13.184 52.138 -41.490
13.550 53.364 -49.496
13.916 54.077 -58.841
14.282 54.344 -67.108
14.648 54.335 -72.686
15.015 54.328 -75.223
15.381 54.605 -75.762
15.747 55.228 -76.144
16.113 56.004 -77.899
16.479 56.695 -81.460
16.846 57.170 -86.207
17.212 57.405 -91.045
17.578 57.454 -94.997
17.944 57.418 -97.531
18.311 57.416 -98.631
18.677 57.549 -98.669
19.043 57.863 -98.181
19.409 58.352 -97.663
19.775 58.978 -97.478
20.142 59.690 -97.856
20.508 60.432 -98.926
20.874 61.154 -100.718
21.240 61.810 -103.138
21.606 62.372 -105.970
21.973 62.830 -108.906
22.339 63.197 -111.619
22.705 63.503 -113.848
23.071 63.790 -115.470
23.438 64.101 -116.531
23.804 64.461 -117.208
24.170 64.872 -117.738
24.536 65.317 -118.312
24.902 65.774 -119.020
25.269 66.230 -119.848
25.635 66.685 -120.731
26.001 67.145 -121.622
26.367 67.618 -122.530
26.733 68.101 -123.506
27.100 68.586 -124.599
27.466 69.065 -125.809
27.832 69.536 -127.085
28.198 70.005 -128.359
28.564 70.484 -129.596
28.931 70.978 -130.818
29.297 71.484 -132.083
29.663 71.992 -133.437
30.029 72.496 -134.869
30.396 72.998 -136.313
30.762 73.512 -137.696
31.128 74.053 -138.999
31.494 74.627 -140.280
31.860 75.227 -141.656
32.227 75.836 -143.239
32.593 76.436 -145.071
32.959 77.021 -147.113
33.325 77.596 -149.268
33.691 78.176 -151.448
34.058 78.777 -153.611
34.424 79.410 -155.783
34.790 80.083 -158.033
35.156 80.799 -160.447
35.522 81.555 -163.122
35.889 82.344 -166.174
36.255 83.144 -169.754
36.621 83.923 -174.045
36.987 84.642 -179.218
37.354 85.259 174.633
